label,layer,hidden_size,latent_dim,activation_type,top_k,normalize_decoder,parameter_count,activity_epsilon,activation_scaling_factor,best_epoch,saved_best_val_loss,combined_dead_feature_count,combined_dead_feature_fraction,decoder_norm_p05,decoder_norm_median,decoder_norm_p95,decoder_norm_max,encoder_norm_p05,encoder_norm_median,encoder_norm_p95,train_samples,train_normalized_mse,train_fraction_variance_unexplained,train_fraction_variance_explained,train_mean_cosine_similarity,train_mean_relative_l2_error,train_mean_l0,train_median_l0,train_p95_l0,train_mean_active_fraction,train_mean_latent_l1,train_active_feature_count,train_dead_feature_count,train_dead_feature_fraction,validation_samples,validation_normalized_mse,validation_fraction_variance_unexplained,validation_fraction_variance_explained,validation_mean_cosine_similarity,validation_mean_relative_l2_error,validation_mean_l0,validation_median_l0,validation_p95_l0,validation_mean_active_fraction,validation_mean_latent_l1,validation_active_feature_count,validation_dead_feature_count,validation_dead_feature_fraction
units_topk128,4,2560,8192,topk,128,True,41953792,1e-06,0.1604600490795466,72,0.0016144108958542347,6924,0.84521484375,1.0,1.0,1.0,1.0000001192092896,0.5851587653160095,0.6130539178848267,0.7505251169204712,800,0.0007320747710764409,0.008130487038339088,0.9918695129616609,0.9996551418304443,0.02475524924695492,95.11375,101.0,124.0,0.011610565185546875,0.007112987078726291,919,7273,0.8878173828125,200,0.0016144109703600407,0.01794642315216439,0.9820535768478356,0.9992268943786621,0.03746878653764725,100.32,102.0,128.0,0.01224609375,0.007099450137466192,1162,7030,0.858154296875
units_topk128,8,2560,8192,topk,128,True,41953792,1e-06,0.2887927358271323,68,0.005838098935782909,7083,0.8646240234375,1.0,1.0,1.0,1.0000001192092896,0.5826563835144043,0.6111484169960022,0.7493128180503845,800,0.002736303687095642,0.009274856186382012,0.990725143813618,0.9985986638069153,0.050416339039802555,88.59125,94.5,121.04999999999995,0.010814361572265625,0.012097614258527756,775,7417,0.9053955078125,200,0.005838098883628845,0.019973043233469982,0.9800269567665301,0.9970332288742065,0.07415614664554596,94.365,99.0,128.0,0.0115191650390625,0.012112816087901592,1059,7133,0.8707275390625
units_topk128,12,2560,8192,topk,128,True,41953792,1e-06,0.3035649079294234,56,0.015155347064137459,6761,0.8253173828125,1.0,1.0,1.0,1.0000001192092896,0.586592435836792,0.615961492061615,0.9310258626937866,800,0.003017429232597351,0.011072232782084959,0.9889277672179151,0.9983813786506652,0.053876696228981016,90.87125,91.5,113.0,0.011092681884765625,0.012610673680901527,1183,7009,0.8555908203125,200,0.015155345737934112,0.056847237630428586,0.9431527623695715,0.9923582983016968,0.12059975147247315,106.79,107.0,128.0,0.013035888671875,0.012420877665281296,1344,6848,0.8359375
units_topk128,16,2560,8192,topk,128,True,41953792,1e-06,0.27007705049797187,45,0.029516564682126045,6395,0.7806396484375,0.9999999403953552,1.0,1.0,1.0000001192092896,0.5891500115394592,0.62032151222229,0.9257396459579468,800,0.005290771514177323,0.014061154926407412,0.9859388450735926,0.9971032238006592,0.07114666104316711,89.765,91.5,112.0,0.0109576416015625,0.014776656851172448,1520,6672,0.814453125,200,0.029516561985015868,0.08068867279122316,0.9193113272087768,0.984538426399231,0.16923446118831634,106.835,109.0,128.0,0.0130413818359375,0.014068813398480415,1545,6647,0.8114013671875
units_topk128,20,2560,8192,topk,128,True,41953792,1e-06,0.3198926208958148,40,0.033517640084028244,6029,0.7359619140625,0.9999999403953552,1.0,1.0,1.0000001192092896,0.5901035666465759,0.621082067489624,0.9007147550582886,800,0.005089579805731773,0.01515022406964753,0.9848497759303525,0.9974315643310547,0.06798380494117737,94.54,97.0,122.0,0.01154052734375,0.013873308300971984,1865,6327,0.7723388671875,200,0.03351764345169067,0.10246368335838868,0.8975363166416113,0.9831059265136719,0.17637227714061737,114.87,117.5,128.0,0.014022216796875,0.01307677835226059,1795,6397,0.7808837890625
units_topk128,24,2560,8192,topk,128,True,41953792,1e-06,0.6416615111762749,35,0.030906660482287407,6194,0.756103515625,0.9999999403953552,1.0,1.0,1.0000001192092896,0.5995047092437744,0.6266531944274902,0.8683940768241882,800,0.005417246967554092,0.019116524111683943,0.980883475888316,0.9973497056961059,0.07201286166906357,74.85125,75.0,101.0,0.009137115478515624,0.011706718727946281,1621,6571,0.8021240234375,200,0.030906657338142397,0.11088427255100765,0.8891157274489924,0.9841599798202515,0.17089751720428467,93.91,93.0,126.0,0.011463623046875,0.010995130017399789,1808,6384,0.779296875
units_topk128,28,2560,8192,topk,128,True,41953792,1e-06,1.2420263226412678,46,0.034909628331661224,6428,0.78466796875,1.0,1.0,1.0,1.0000001192092896,0.5987514853477478,0.627920389175415,0.8603378534317017,800,0.008646546125411988,0.015183379039745672,0.9848166209602544,0.9958022117614747,0.09068656861782073,66.87625,66.0,94.04999999999995,0.008163604736328125,0.014958576820790768,1336,6856,0.8369140625,200,0.034909624576568606,0.06064349933576659,0.9393565006642334,0.9817781496047974,0.17896971881389617,81.29,80.0,111.0,0.009923095703125,0.014720848351716996,1653,6539,0.7982177734375
