label,layer,hidden_size,latent_dim,parameter_count,activity_epsilon,activation_scaling_factor,best_epoch,saved_best_val_loss,combined_dead_feature_count,combined_dead_feature_fraction,decoder_norm_p05,decoder_norm_median,decoder_norm_p95,decoder_norm_max,encoder_norm_p05,encoder_norm_median,encoder_norm_p95,train_samples,train_normalized_mse,train_fraction_variance_unexplained,train_fraction_variance_explained,train_mean_cosine_similarity,train_mean_relative_l2_error,train_mean_l0,train_median_l0,train_p95_l0,train_mean_active_fraction,train_mean_latent_l1,train_active_feature_count,train_dead_feature_count,train_dead_feature_fraction,validation_samples,validation_normalized_mse,validation_fraction_variance_unexplained,validation_fraction_variance_explained,validation_mean_cosine_similarity,validation_mean_relative_l2_error,validation_mean_l0,validation_median_l0,validation_p95_l0,validation_mean_active_fraction,validation_mean_latent_l1,validation_active_feature_count,validation_dead_feature_count,validation_dead_feature_fraction
capitals,4,2560,8192,41953792,1e-06,0.1530567070951289,31,0.004104264546185732,0,0.0,0.35013335943222046,0.3730788826942444,0.40832075476646423,0.5610765814781189,0.6012994647026062,0.6203992366790771,0.6528142690658569,800,0.00047719402611255647,0.00817592436110472,0.9918240756388953,0.9997659015655518,0.02052974924445152,2540.41,2660.5,3360.1,0.310108642578125,0.04037308126688004,8192,0,0.0,200,0.004092534929513931,0.06936223652467505,0.9306377634753249,0.9979815053939819,0.061227271854877474,2694.17,2823.0,3482.25,0.328878173828125,0.039099111557006835,8192,0,0.0
capitals,8,2560,8192,41953792,1e-06,0.3548897269225339,31,0.004251459147781134,0,0.0,0.3586881756782532,0.38182079792022705,0.42180052399635315,0.5141828656196594,0.5986168384552002,0.6193674802780151,0.6537157893180847,800,0.0003202899433672428,0.006919863545558653,0.9930801364544414,0.9998411655426025,0.01709968186914921,2706.1175,2749.0,3456.1499999999996,0.33033660888671873,0.04058351397514343,8192,0,0.0,200,0.004239759922027588,0.09145572057606291,0.9085442794239371,0.997871208190918,0.06364106953144073,2935.74,2995.5,3679.05,0.35836669921875,0.038996368050575256,8192,0,0.0
capitals,12,2560,8192,41953792,1e-06,0.289384357054381,14,0.0071471030823886395,0,0.0,0.357626348733902,0.3772193491458893,0.40193018317222595,0.4485815465450287,0.5995467305183411,0.615976095199585,0.6373084783554077,800,0.0010594563409686089,0.017220861570327123,0.9827791384296729,0.9994740629196167,0.031565495580434796,2800.54875,2854.5,3566.1499999999996,0.34186386108398437,0.049567437618970873,8192,0,0.0,200,0.0071328021585941315,0.1182015320801488,0.8817984679198512,0.9964214015007019,0.08220804303884506,2999.58,3036.0,3714.2,0.36615966796875,0.04766919076442719,8192,0,0.0
capitals,16,2560,8192,41953792,1e-06,0.288759392576495,25,0.008541731163859367,0,0.0,0.3504202365875244,0.3784717321395874,0.4150547385215759,0.4620935022830963,0.601976215839386,0.622694194316864,0.64835125207901,800,0.0007027246877551079,0.009287770704943153,0.9907122292950569,0.9996523070335388,0.025581172704696654,2998.875,3140.0,3756.05,0.3660736083984375,0.06067268639802933,8192,0,0.0,200,0.008523944050073624,0.11232449845269225,0.8876755015473078,0.9956655693054199,0.08919166028499603,3241.475,3412.0,4023.6499999999996,0.3956878662109375,0.05928569257259369,8192,0,0.0
capitals,20,2560,8192,41953792,1e-06,0.3368160263964859,20,0.00878923200070858,0,0.0,0.35437440872192383,0.37292414903640747,0.39781883358955383,0.43462085723876953,0.600256085395813,0.616167426109314,0.6368911862373352,800,0.001336327586323023,0.016024157060549504,0.9839758429394505,0.9993449020385742,0.035341568291187286,3050.54125,3193.5,3826.0,0.37238052368164065,0.06121596306562424,8192,0,0.0,200,0.008771000564098358,0.10293645639720168,0.8970635436027983,0.9956474876403809,0.08878203928470611,3242.075,3358.5,3925.7499999999986,0.3957611083984375,0.06076746106147766,8192,0,0.0
capitals,24,2560,8192,41953792,1e-06,0.5744716757213767,13,0.009242959320545197,0,0.0,0.35299307107925415,0.3673290014266968,0.3850003778934479,0.41583868861198425,0.5943141579627991,0.6077412366867065,0.6231452226638794,800,0.0018856476843357086,0.01762056622223529,0.9823794337777647,0.9990693426132202,0.04273500993847847,2945.58625,2945.5,3712.0,0.3595686340332031,0.06768931269645691,8192,0,0.0,200,0.009222574144601823,0.08648862289987624,0.9135113771001238,0.9954467058181763,0.09079320102930069,3162.585,3185.0,3840.9999999999995,0.3860577392578125,0.0679456627368927,8192,0,0.0
capitals,28,2560,8192,41953792,1e-06,0.9752034904714625,11,0.021743059158325195,0,0.0,0.3423185646533966,0.3541480302810669,0.3697245419025421,0.4225785434246063,0.5870407223701477,0.5993671417236328,0.6128063797950745,800,0.008894738674163818,0.02760432299453124,0.9723956770054688,0.9959338140487671,0.08838987201452256,3284.97125,3346.0,4203.05,0.40099746704101563,0.11497134506702424,8192,0,0.0,200,0.021708974599838258,0.07131777391242407,0.9286822260875759,0.9896376514434815,0.1324464350938797,3443.725,3504.0,4322.799999999999,0.4203765869140625,0.11360608339309693,8192,0,0.0
