label,layer,hidden_size,latent_dim,parameter_count,activity_epsilon,activation_scaling_factor,best_epoch,saved_best_val_loss,combined_dead_feature_count,combined_dead_feature_fraction,decoder_norm_p05,decoder_norm_median,decoder_norm_p95,decoder_norm_max,encoder_norm_p05,encoder_norm_median,encoder_norm_p95,train_samples,train_normalized_mse,train_fraction_variance_unexplained,train_fraction_variance_explained,train_mean_cosine_similarity,train_mean_relative_l2_error,train_mean_l0,train_median_l0,train_p95_l0,train_mean_active_fraction,train_mean_latent_l1,train_active_feature_count,train_dead_feature_count,train_dead_feature_fraction,validation_samples,validation_normalized_mse,validation_fraction_variance_unexplained,validation_fraction_variance_explained,validation_mean_cosine_similarity,validation_mean_relative_l2_error,validation_mean_l0,validation_median_l0,validation_p95_l0,validation_mean_active_fraction,validation_mean_latent_l1,validation_active_feature_count,validation_dead_feature_count,validation_dead_feature_fraction
units,4,2560,8192,41953792,1e-06,0.1604600490795466,64,0.0009454339742660522,0,0.0,0.3285675644874573,0.3431087136268616,0.38120490312576294,0.522246778011322,0.5830363035202026,0.5969477891921997,0.6297750473022461,800,0.00029918088018894193,0.0033227292683756203,0.9966772707316244,0.9998581409454346,0.0164803808927536,4077.90375,4513.0,5538.1,0.49779098510742187,0.06011207908391952,8192,0,0.0,200,0.0009272399693727493,0.010307561803951421,0.9896924381960486,0.9995611190795899,0.02780001662671566,4119.3,4439.5,5534.349999999999,0.50284423828125,0.060646688640117644,8192,0,0.0
units,8,2560,8192,41953792,1e-06,0.2887927358271323,74,0.0034486446529626846,0,0.0,0.3306821882724762,0.35008347034454346,0.38778814673423767,0.5631577968597412,0.5853981375694275,0.6023905873298645,0.6376774311065674,800,0.0010606144294142722,0.003595012625393271,0.9964049873746067,0.9994653129577636,0.03164846628904343,3892.51125,4302.5,5021.0,0.4751600646972656,0.10107332020998001,8192,0,0.0,200,0.0034184002578258516,0.011694878332794145,0.9883051216672059,0.9982508778572082,0.05623517721891403,3958.76,4373.0,5047.3,0.4832470703125,0.10081407010555267,8192,0,0.0
units,12,2560,8192,41953792,1e-06,0.3035649079294234,52,0.009516828693449497,0,0.0,0.35027655959129333,0.373945415019989,0.41601458191871643,0.5493692755699158,0.5939696431159973,0.6144816875457764,0.6469820141792297,800,0.0014209936559200287,0.005214230832737478,0.9947857691672625,0.9992589378356933,0.037388680577278136,3072.36,3158.0,3696.5499999999993,0.3750439453125,0.09517390787601471,8192,0,0.0,200,0.00948848232626915,0.03559100655839417,0.9644089934416058,0.9951679706573486,0.09541153073310853,3284.37,3381.0,3859.3999999999996,0.400924072265625,0.094489825963974,8192,0,0.0
units,16,2560,8192,41953792,1e-06,0.27007705049797187,43,0.018380746245384216,0,0.0,0.356007844209671,0.37974733114242554,0.4142407178878784,0.49725672602653503,0.6008650660514832,0.6212642788887024,0.6483199596405029,800,0.0027142578437924386,0.0072136171349513455,0.9927863828650486,0.9986158108711243,0.05216548755764961,3047.3425,3097.0,3500.5999999999995,0.3719900512695313,0.11355704843997955,8192,0,0.0,200,0.018347698092460632,0.050156634387374076,0.949843365612626,0.990362913608551,0.13360146522521973,3279.365,3328.0,3745.2999999999997,0.4003131103515625,0.11015482723712922,8192,0,0.0
units,20,2560,8192,41953792,1e-06,0.3198926208958148,30,0.02010096237063408,0,0.0,0.3566116690635681,0.3785727620124817,0.40974098443984985,0.530430018901825,0.5980714559555054,0.6157946586608887,0.6406201124191284,800,0.003281363531947136,0.009767681156503921,0.990232318843496,0.998449764251709,0.05560108870267868,3187.6975,3240.5,3863.1499999999996,0.3891232299804688,0.11670941233634949,8192,0,0.0,200,0.02006659185886383,0.06134371938385577,0.9386562806161443,0.9899259948730469,0.13680004119873046,3436.57,3433.5,4123.5,0.419503173828125,0.11456329703330993,8192,0,0.0
units,24,2560,8192,41953792,1e-06,0.6416615111762749,14,0.020640624687075615,0,0.0,0.35668620467185974,0.3694804012775421,0.38456442952156067,0.4216333329677582,0.5941773056983948,0.6072182655334473,0.6221697926521301,800,0.005135485708713532,0.018122237543132694,0.9818777624568673,0.9974466180801391,0.07069861888885498,3111.38375,3160.0,3621.05,0.37980758666992187,0.11538126438856125,8192,0,0.0,200,0.020606402635574343,0.07392989611073095,0.926070103889269,0.9894903755187988,0.13932760834693908,3287.4,3322.0,3742.1,0.4012939453125,0.1140755182504654,8192,0,0.0
units,28,2560,8192,41953792,1e-06,1.2420263226412678,21,0.02493162266910076,0,0.0,0.34951353073120117,0.36451268196105957,0.38500192761421204,0.4423401951789856,0.5907085537910461,0.6042760610580444,0.6198727488517761,800,0.007798106551170349,0.013693514825620819,0.9863064851743791,0.9962032556533813,0.08763060331344605,3288.90375,3294.5,4131.15,0.40147750854492187,0.15878345608711242,8192,0,0.0,200,0.0248833429813385,0.04322627389620528,0.9567737261037947,0.9871202659606934,0.1518327474594116,3446.585,3471.5,4215.049999999999,0.4207257080078125,0.16092485427856446,8192,0,0.0
