label,layer,hidden_size,latent_dim,activation_type,top_k,normalize_decoder,parameter_count,activity_epsilon,activation_scaling_factor,best_epoch,saved_best_val_loss,combined_dead_feature_count,combined_dead_feature_fraction,decoder_norm_p05,decoder_norm_median,decoder_norm_p95,decoder_norm_max,encoder_norm_p05,encoder_norm_median,encoder_norm_p95,train_samples,train_normalized_mse,train_fraction_variance_unexplained,train_fraction_variance_explained,train_mean_cosine_similarity,train_mean_relative_l2_error,train_mean_l0,train_median_l0,train_p95_l0,train_mean_active_fraction,train_mean_latent_l1,train_active_feature_count,train_dead_feature_count,train_dead_feature_fraction,validation_samples,validation_normalized_mse,validation_fraction_variance_unexplained,validation_fraction_variance_explained,validation_mean_cosine_similarity,validation_mean_relative_l2_error,validation_mean_l0,validation_median_l0,validation_p95_l0,validation_mean_active_fraction,validation_mean_latent_l1,validation_active_feature_count,validation_dead_feature_count,validation_dead_feature_fraction
math_topk512,4,2560,8192,topk,512,True,41953792,1e-06,0.14199237420368485,57,3.4302345738979056e-05,3975,0.4852294921875,0.9999999403953552,1.0,1.0,1.0000001192092896,0.5723432302474976,0.587465763092041,0.6508947014808655,800,8.080124214757235e-06,0.010287521750317103,0.9897124782496829,0.9999959683418274,0.0028044654615223407,337.51625,335.5,401.04999999999995,0.04120071411132813,0.0011920178402215242,3417,4775,0.5828857421875,200,3.4302341286093e-05,0.04150171235109451,0.9584982876489054,0.9999829459190369,0.00571003831923008,375.605,375.5,454.09999999999997,0.0458502197265625,0.0012003301549702882,3741,4451,0.5433349609375
math_topk512,8,2560,8192,topk,512,True,41953792,1e-06,0.26518390490614646,26,0.00025364692555740476,4291,0.5238037109375,0.9999999403953552,1.0,1.0,1.0000001192092896,0.5849345922470093,0.6076719760894775,0.6926711201667786,800,6.722210254520178e-05,0.019641795845654703,0.9803582041543453,0.9999666452407837,0.008008412308990956,224.15875,222.0,271.0,0.027363128662109375,0.0019275888288393618,3594,4598,0.561279296875,200,0.00025364688877016305,0.07129850694739248,0.9287014930526075,0.9998744821548462,0.015517199784517289,243.825,239.0,299.15,0.0297637939453125,0.0018608971312642098,3307,4885,0.5963134765625
math_topk512,12,2560,8192,topk,512,True,41953792,1e-06,0.26615102881242053,47,0.0008491683402098715,5108,0.62353515625,0.9999999403953552,1.0,1.0,1.0000001192092896,0.5875906348228455,0.619526743888855,0.7905758023262024,800,0.00015446979785338044,0.013857747773238036,0.986142252226762,0.9999234771728516,0.01198775865137577,144.1825,143.5,173.0,0.01760040283203125,0.002878166399896145,2751,5441,0.6641845703125,200,0.0008491682633757591,0.07281659680359992,0.9271834031964001,0.9995804595947265,0.02771023452281952,160.545,158.0,199.04999999999998,0.0195977783203125,0.0027648939751088617,2524,5668,0.69189453125
math_topk512,16,2560,8192,topk,512,True,41953792,1e-06,0.346239141914066,46,0.0007565502310171723,4852,0.59228515625,0.9999999403953552,1.0,1.0,1.0000001192092896,0.586654543876648,0.6175284385681152,0.7783647775650024,800,0.00012901840917766094,0.012077150462940013,0.98792284953706,0.999935998916626,0.011009995304048061,190.94125,191.0,227.04999999999995,0.023308258056640625,0.003169446010142565,2898,5294,0.646240234375,200,0.0007565502561628819,0.06864390804583403,0.9313560919541659,0.9996226453781127,0.026419863402843476,210.39,203.0,268.19999999999993,0.025682373046875,0.003037798022851348,2845,5347,0.6527099609375
math_topk512,20,2560,8192,topk,512,True,41953792,1e-06,0.36854164873744455,34,0.001234574243426323,4780,0.58349609375,0.9999999403953552,1.0,1.0,1.0000001192092896,0.5870748162269592,0.6164201498031616,0.7385331988334656,800,0.0002475943434983492,0.016045319723738655,0.9839546802762613,0.9998762702941895,0.01513439055532217,203.29375,204.0,250.04999999999995,0.024816131591796874,0.003786162519827485,3243,4949,0.6041259765625,200,0.0012345742583274842,0.07506231419895433,0.9249376858010456,0.9993802261352539,0.03369135737419129,218.72,218.0,281.15,0.02669921875,0.0037076810002326967,2700,5492,0.67041015625
math_topk512,24,2560,8192,topk,512,True,41953792,1e-06,0.776643056975472,51,0.0020126549061387777,6172,0.75341796875,0.9999999403953552,1.0,1.0,1.0000001192092896,0.5864400863647461,0.6122729182243347,0.7707981467247009,800,0.000521599905565381,0.01566851699108629,0.9843314830089137,0.9997398662567138,0.022224050015211105,127.83875,128.0,152.0,0.015605316162109376,0.00478760663419962,1779,6413,0.7828369140625,200,0.002012654699385166,0.06024472813843153,0.9397552718615685,0.9989805698394776,0.04314483791589737,139.585,139.0,170.0,0.0170391845703125,0.004575309865176677,1785,6407,0.7821044921875
math_topk512,28,2560,8192,topk,512,True,41953792,1e-06,0.8650031612289996,34,0.002283799462020397,5331,0.6507568359375,0.9999999403953552,1.0,1.0,1.0000001192092896,0.58723384141922,0.6161068677902222,0.7288575172424316,800,0.000554872177541256,0.016087200185016765,0.9839127998149833,0.9997219228744507,0.02307887628674507,161.875,161.5,204.0,0.0197601318359375,0.005159906912595034,2685,5507,0.6722412109375,200,0.0022837996259331703,0.06392394476432443,0.9360760552356756,0.9988387370109558,0.045797770470380784,176.785,174.0,224.09999999999997,0.0215802001953125,0.004981472343206406,2347,5845,0.7135009765625
